,image,scene,0,1,6,7,11,12,13,14,15,17,18,sum
0,0000000002.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
1,0000000003.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
2,0000000004.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
3,0000000004.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
4,0000000005.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
5,0000000006.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
6,0000000006.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
7,0000000007.png,/2013_05_28_drive_0007_sync,1,0,0,1,0,0,1,0,0,0,0,3
8,0000000008.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
11,0000000010.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
13,0000000010.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,1,8
14,0000000011.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
16,0000000012.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
18,0000000013.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
20,0000000013.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,1,8
21,0000000014.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
23,0000000015.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
25,0000000015.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,0,7
26,0000000016.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
28,0000000017.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
30,0000000017.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,0,7
31,0000000018.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
33,0000000018.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,0,7
34,0000000019.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
36,0000000019.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,0,7
37,0000000020.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
39,0000000020.png,/2013_05_28_drive_0010_sync,1,1,1,1,1,1,1,0,0,0,1,8
40,0000000021.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
42,0000000021.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,1,7
43,0000000022.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
45,0000000022.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,1,7
46,0000000023.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
48,0000000023.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,1,7
49,0000000024.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
51,0000000024.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,1,7
52,0000000025.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
54,0000000025.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
55,0000000026.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
57,0000000026.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
58,0000000027.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
60,0000000027.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
61,0000000028.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
